trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
0,06:00:00,06:00:00,node/6907157794,1,Adjamé Liberté,,,,
0,06:02:06,06:02:06,node/6908914491,2,Pharmacie le Belier,,,,
0,06:06:14,06:06:14,node/2444131222,3,Fraternité Matin,,,,
0,06:11:04,06:11:04,node/6913974340,4,Gendarmerie,,,,
0,06:14:21,06:14:21,node/6195348341,5,Cathédrale Saint paul,,,,
0,06:15:32,06:15:32,node/6905719606,6,Église Méthodiste Unie de Côte d'Ivoire,,,,
0,06:18:34,06:18:34,node/6905719607,7,60 logements Plateau,,,,
0,06:20:14,06:20:14,node/6474137980,8,Galerie du Parc,,,,
0,06:23:04,06:23:04,node/6474137979,9,Présidence,,,,
0,06:25:00,06:25:00,node/6474138999,10,Terminus Gare Sud,,,,
1,06:00:00,06:00:00,node/6831076682,1,Gare Sud,,,,
1,06:03:39,06:03:39,node/6904171076,2,Primature,,,,
1,06:05:38,06:05:38,node/6904171075,3,SIB Alpha 2000,,,,
1,06:07:29,06:07:29,node/6904171074,4,Cité financière Plateau,,,,
1,06:09:35,06:09:35,node/6831076678,5,Église Méthodiste Unie de Côte d'Ivoire,,,,
1,06:11:26,06:11:26,node/6831076677,6,Cathédrale Saint paul,,,,
1,06:13:54,06:13:54,node/6913931703,7,Gendarmerie,,,,
1,06:25:00,06:25:00,node/6906596960,8,Adjamé Liberté,,,,
2,06:00:00,06:00:00,node/6933128810,1,Yopougon Camp Militaire,,,,
2,06:02:58,06:02:58,node/6932152400,2,Arrêt,,,,
2,06:05:16,06:05:16,node/6933128808,3,Arrêt,,,,
2,06:06:43,06:06:43,node/6933128807,4,[Arret sans nom],,,,
2,06:08:18,06:08:18,node/6912805213,5,Banque Atlantique,,,,
2,06:10:27,06:10:27,node/6912805212,6,Carrefour Lama Fofana,,,,
2,06:12:29,06:12:29,node/6912805211,7,Carrefour Marché,,,,
2,06:14:13,06:14:13,node/6912805210,8,Camp FRCI,,,,
2,06:15:40,06:15:40,node/6910703475,9,Complexe sportif de Yopougon,,,,
2,06:19:14,06:19:14,node/6910703474,10,Bel Air,,,,
2,06:21:11,06:21:11,node/6910703473,11,Institut des aveugles,,,,
2,06:24:25,06:24:25,node/6913857608,12,Sable,,,,
2,06:46:58,06:46:58,node/6474138987,13,Gare Nord,,,,
2,06:50:21,06:50:21,node/6474138986,14,Grande Mosquée Adjamé,,,,
2,06:52:12,06:52:12,node/6474138985,15,Pharmacie du Banco,,,,
2,06:53:17,06:53:17,node/6905719605,16,Foire de Chine,,,,
2,06:54:49,06:54:49,node/6474137984,17,Marché Forum,,,,
2,06:56:11,06:56:11,node/6474137983,18,Mairie d'Adjamé,,,,
2,06:59:12,06:59:12,node/6474137982,19,Institut National de la Santé Publique,,,,
2,07:02:08,07:02:08,node/6474137981,20,Camp Galliéni,,,,
2,07:05:35,07:05:35,node/6905772460,21,Immeuble Sogephia Hévéa,,,,
2,07:07:47,07:07:47,node/6905772459,22,Saint Paul,,,,
2,07:08:52,07:08:52,node/6905719607,23,60 logements Plateau,,,,
2,07:10:27,07:10:27,node/6474137980,24,Galerie du Parc,,,,
2,07:13:10,07:13:10,node/6474137979,25,Présidence,,,,
2,07:15:00,07:15:00,node/6474138999,26,Terminus Gare Sud,,,,
3,06:00:00,06:00:00,node/6933043359,1,Gare Sud,,,,
3,06:03:54,06:03:54,node/6904171076,2,Primature,,,,
3,06:05:54,06:05:54,node/6904171075,3,SIB Alpha 2000,,,,
3,06:07:53,06:07:53,node/6905842307,4,Long Champs,,,,
3,06:09:44,06:09:44,node/6474137958,5,Immeuble Sogefiha,,,,
3,06:11:54,06:11:54,node/6474137956,6,Cité Administrative,,,,
3,06:13:34,06:13:34,node/6905772461,7,Musée du Plateau,,,,
3,06:16:25,06:16:25,node/6904171072,8,Institut National de la Santé Publique,,,,
3,06:19:37,06:19:37,node/6474137954,9,Mairie d'Adjamé,,,,
3,06:22:30,06:22:30,node/6474137952,10,Foire de Chine,,,,
3,06:24:46,06:24:46,node/6904171070,11,Pharmacie du Banco,,,,
3,06:26:03,06:26:03,node/6474137950,12,Grande Mosquée Adjamé,,,,
3,06:29:51,06:29:51,node/6474137948,13,Gare Nord,,,,
3,06:30:18,06:30:18,node/6909225544,14,Gare Nord,,,,
3,06:54:19,06:54:19,node/6910743313,15,Sable,,,,
3,06:57:27,06:57:27,node/6910743314,16,Institut des aveugles,,,,
3,07:00:49,07:00:49,node/6910743312,17,Bel Air,,,,
3,07:04:33,07:04:33,node/6913190455,18,Nouveau quartier,,,,
3,07:06:02,07:06:02,node/6913190454,19,Pharmacie Béatitude,,,,
3,07:08:59,07:08:59,node/6913190453,20,Pharmacie Sacré-cœur,,,,
3,07:11:00,07:11:00,node/6913190452,21,La Poste,,,,
3,07:12:34,07:12:34,node/6933043357,22,[Arret sans nom],,,,
3,07:14:11,07:14:11,node/6933043356,23,Arrêt,,,,
3,07:16:19,07:16:19,node/6933043355,24,Arrêt,,,,
3,07:18:25,07:18:25,node/6933043354,25,Ghandi,,,,
3,07:20:00,07:20:00,node/6933043352,26,Yopougon Camp Militaire,,,,
4,06:00:00,06:00:00,node/6899034710,1,Adjamé Liberté,,,,
4,06:22:37,06:22:37,node/6899034709,2,Après le Pont,,,,
4,06:24:05,06:24:05,node/6899034708,3,Pharmacie Nanan Yamousso,,,,
4,06:26:12,06:26:12,node/6899034707,4,Notre-dame,,,,
4,06:28:42,06:28:42,node/6899034706,5,Gendarmerie,,,,
4,06:30:00,06:30:00,node/6899034705,6,Gare de Bassam,,,,
5,06:00:00,06:00:00,node/6899053349,1,Gare de Bassam,,,,
5,06:04:37,06:04:37,node/6899053348,2,Nanan Yamousso,,,,
5,06:11:54,06:11:54,node/6899053347,3,Feux du plateau,,,,
5,06:23:50,06:23:50,node/6899053346,4,Gare de Bingerville,,,,
5,06:25:00,06:25:00,node/6899053345,5,Adjamé Liberté,,,,
6,06:00:00,06:00:00,node/6899241577,1,Adjamé Liberté,,,,
6,06:20:00,06:20:00,node/6899241573,2,Abobo Gare Mairie,,,,
7,06:00:00,06:00:00,node/6899264973,1,Abobo Gare Mairie,,,,
7,06:38:04,06:38:04,node/6899264972,2,Station Total,,,,
7,06:40:32,06:40:32,node/6899264971,3,Adjamé Liberté,,,,
7,06:45:00,06:45:00,node/6899264970,4,Marché Gouro,,,,
8,06:00:00,06:00:00,node/6902639012,1,Gare des gbakas d’Abobo par le zoo,,,,
8,06:05:27,06:05:27,node/6902639011,2,Carrefour 2 Plateaux,,,,
